date,psi_lakh,groundup_cards,groundup_lakh,pct_diff
2025-06-01,10051.80283,1011115195.9753937,10111.151959753937,0.5904326891172886
2025-07-01,10127.27337,1012273957.9968663,10122.739579968664,-0.04476812134614125
2025-08-01,10180.4245,1017455718.4507744,10174.557184507745,-0.057633308829650676
2025-09-01,10248.0879,1019652125.1590897,10196.521251590897,-0.5031831197418148
2025-10-01,10271.50225,1024619605.8579997,10246.196058579997,-0.24637283626163356
2025-11-01,10317.03169,1029349807.804116,10293.49807804116,-0.22810448456458288
2025-12-01,10343.45867,1033270499.7731119,10332.70499773112,-0.10396592292740421
2026-01-01,10377.5696,1030335995.1943144,10303.359951943143,-0.7150966065971552
2026-02-01,10417.667,1035861484.8049022,10358.614848049023,-0.5668462233528545
2026-03-01,10447.55973,1043461430.1554406,10434.614301554406,-0.12390863302195353
2026-04-01,10233.91739,1029757016.2199163,10297.570162199163,0.6219785618101655
