date,psi_lakh,groundup_cards,groundup_lakh,pct_diff
2025-06-01,1109.69493,109887726.57354479,1098.877265735448,-0.9748322689509042
2025-07-01,1118.07972,110850375.83688766,1108.5037583688766,-0.8564650140620914
2025-08-01,1124.95592,111908302.88583457,1119.0830288583456,-0.5220552234308401
2025-09-01,1135.0724,113214162.28572637,1132.1416228572637,-0.25820178014515727
2025-10-01,1141.33565,114361900.93000832,1143.6190093000832,0.20006028025876943
2025-11-01,1150.01607,115690665.39229065,1156.9066539229066,0.5991728378984018
2025-12-01,1157.91713,115787452.55764371,1157.874525576437,-0.0036794017861221454
2026-01-01,1166.52407,117955544.48506148,1179.5554448506148,1.117111526949876
2026-02-01,1177.045,119001724.30965169,1190.017243096517,1.1021025616282196
2026-03-01,1186.33677,119097658.85144658,1190.976588514466,0.3911046704272696
2026-04-01,1194.36129,120749666.46934596,1207.4966646934595,1.0997823525793795
