date,forecast,forecast_lower,forecast_upper,trend_component,seasonality_component
2026-05-01,1006.165060226609,957.5559718571867,1056.308532200393,961.7185742774375,46.66369748611623
2026-06-01,928.4198473780976,878.0059769920482,981.6549801403237,949.0895876396164,-34.77133508617487
2026-07-01,974.5636144507548,922.0351877594011,1037.9747635497056,936.8679876675312,46.23968590354264
2026-08-01,972.1632036103848,898.8583677807621,1063.175790469112,924.2390010297102,66.02287804819719
2026-09-01,892.3791080609835,791.5496523839398,1013.414993303333,911.6100143918887,-27.589553010267828
2026-10-01,965.1123884062894,833.7931894565545,1122.1996128784315,899.3884144198039,87.51626793689385
2026-11-01,846.8659226014,671.3517909914907,1038.9262100947697,886.7594277819829,-53.319520536947266
2026-12-01,897.0126669824219,689.3046180385703,1144.3615887930093,874.5378278098976,27.936551976498407
2027-01-01,849.5878705613405,588.5780550376874,1147.5577717983247,861.9088411720766,-25.268184450173482
2027-02-01,743.0525144696207,438.68370076995205,1087.6971519979124,849.2798545342554,-150.01583139889703
2027-03-01,864.1289632750545,515.4792580366786,1244.8394119840543,837.8730278936426,21.874536532921987
2027-04-01,855.8068632149835,469.4367687228406,1288.4916216737959,825.2440412558215,26.976068963504414
