date,yhat,yhat_lower,yhat_upper,trend,actual
2016-04-01,-28.77762046847251,-1037.3656175399576,1038.6993581964766,-29.028139961668,0.0
2016-05-01,-15.219350807756284,-1126.006679763332,1052.9162297046055,-14.959698599255544,0.0
2016-06-01,-0.4146532791380468,-1043.5329443897717,1049.8566299995584,-0.42230919142933804,0.0
2016-07-01,13.675886128165542,-1077.2133107512514,1075.4921069837,13.646132170983119,0.09
2016-08-01,28.425012812591106,-1000.20494035909,1062.619962841484,28.183521578809327,0.09
2016-09-01,41.82204158556382,-990.7458180376735,1040.0366906728452,42.72091098663554,0.09
2016-10-01,59.13256250757708,-970.5479150089508,1105.627558035506,56.789352349047995,0.1
2016-11-01,69.73420756025001,-936.1031900933284,1151.7466796211068,71.3267417568742,0.29
2016-12-01,88.38025017072637,-960.5563684693119,1189.4420726634798,85.39518311928666,1.99
2017-01-01,103.34494111661036,-1012.219974216758,1143.3747048450234,99.93257252711287,4.46
2017-02-01,109.28985637458543,-985.5430908491622,1172.5991193634948,114.46996193493908,4.38
2017-03-01,132.674229960428,-940.8749116485644,1208.4253973296575,127.60050720652403,6.37
2017-04-01,142.89652073572844,-908.9016087285204,1176.877368392954,142.13789661435027,7.2
2017-05-01,157.2179531998975,-872.6875179126058,1271.8139337070093,156.2063379767627,9.36
2017-06-01,165.78508343024683,-858.4229454245913,1278.4508634542108,170.7437273845889,10.35
2017-07-01,184.99386506297088,-866.011864784967,1220.148593224806,184.81216874700135,11.63
2017-08-01,202.07507743871545,-834.2588784336695,1214.937141355372,199.34955815482755,16.8
2017-09-01,210.671656169089,-806.6922165943995,1183.1451793599495,213.88694756265375,30.98
2017-10-01,236.58838287618093,-869.015714156809,1268.539783563128,227.95538892506622,76.96
2017-11-01,239.07992390303713,-879.2421518819474,1370.0775743443255,242.4927783328924,105.02
2017-12-01,264.7151165092873,-763.6460389127324,1308.2230657150615,256.5612196953049,145.64
2018-01-01,276.8619627780097,-808.9282638790074,1307.2114924960943,271.0986091031311,151.83
2018-02-01,267.43923951536385,-780.3387416530304,1309.8489232389582,281.6629261747472,171.4
2018-03-01,306.44390836864227,-687.7883411136328,1371.949722658751,291.2048899813682,178.05
2018-04-01,307.48749845371964,-732.264377504539,1393.4164619017836,301.7692070529843,190.08
2018-05-01,310.4906597850103,-765.3152041765434,1328.0925093022277,311.99273970293535,189.48
2018-06-01,309.6971407439078,-760.3346599142727,1307.2622551364946,322.5570567745514,246.37
2018-07-01,332.80772133645166,-695.7055389948322,1485.3653943134136,332.7805894245025,273.75
2018-08-01,349.8521339343155,-700.5782862326721,1367.744258492835,343.34490649611865,312.02
2018-09-01,350.702866647989,-695.5431964546398,1401.5069258453325,353.9092235677347,405.87
2018-10-01,376.6706317203761,-701.575203137696,1416.6070647882907,364.1327562176858,482.36
2018-11-01,372.48273007860064,-701.295885705555,1373.357125115293,374.6970732893019,524.94
2018-12-01,395.812904876704,-655.0284919921762,1503.3070363204567,384.920605939253,620.17
2019-01-01,398.79917737203345,-626.4966743050534,1473.6538944483038,395.4849230108691,672.75
2019-02-01,383.5865309679744,-587.2719930267505,1432.6627489334096,406.0492400824852,674.19
2019-03-01,442.6267773564021,-600.5257623718312,1459.7842551478293,415.5912038891062,799.54
2019-04-01,439.8728624604617,-674.297428607136,1561.3924843714838,426.15552096072224,781.79
2019-05-01,429.17811528371374,-662.1044461610825,1470.4857008550282,436.37905361067345,733.54
2019-06-01,424.33095600621897,-622.1105268120532,1468.7906050119293,446.94337068228947,754.54
2019-07-01,456.9283227689879,-639.0668801547084,1431.6917583287243,457.1669033322405,822.29
2019-08-01,479.14490424635255,-588.5973423029076,1532.5542133530348,467.73122040385664,918.35
2019-09-01,476.79819819592836,-554.0824777412067,1601.0197365161096,478.29553747547277,955.02
2019-10-01,503.635386732431,-455.22941175826054,1632.4977974032329,488.5190701254238,1148.36
2019-11-01,500.1603929359833,-501.69120574670205,1551.5292977455895,499.08338719703994,1218.77
2019-12-01,521.790307591615,-444.20419219192786,1540.2088167245881,509.306919846991,1308.4
2020-01-01,517.5463247022242,-498.6833388746658,1546.5295442494132,519.8712369186071,1305.02
2020-02-01,498.7634799698927,-490.1415621533808,1576.4432191330718,530.4355539902232,1325.69
2020-03-01,555.1056192543731,-471.7634544034408,1678.0286888983583,540.3183022185092,1246.84
2020-04-01,1104.7042123572064,44.72367447589878,2134.5907566862693,550.8826192901254,999.57
2020-05-01,1129.4209845737682,134.8012348848798,2133.9063539527738,561.1061519400764,1234.5
2020-06-01,561.3068324650029,-478.7926757806683,1640.2416637080316,571.6704690116925,1336.93
2020-07-01,583.1627603833834,-489.90941885496665,1655.5234128667607,581.8940016616436,1497.36
2020-08-01,597.5348131647438,-366.40423668232035,1641.1077580007372,592.4583187332596,1618.83
2020-09-01,590.3347369993242,-410.8082889773935,1676.7788040952937,603.0226358048757,1800.14
2020-10-01,638.5495852427241,-363.5278748040919,1678.567921881045,613.2461684548284,2071.62
2020-11-01,909.9629058524528,-121.03369117573784,1973.7758523574144,930.7439127059152,2210.23
2020-12-01,1281.2752140051837,188.1800939284499,2304.934698940685,1237.9997942392238,2234.16
2021-01-01,1608.6126620896725,591.6106429424833,2608.4713363853175,1555.4975384903132,2302.73
2021-02-01,1788.2366865590386,785.5252055139505,2847.637915017871,1872.9952827414027,2292.9
2021-03-01,2245.6453200285764,1186.9920262465446,3246.546797408587,2159.7674388391592,2731.68
2021-04-01,2490.4869428578754,1419.8117636650989,3455.574909558177,2477.265183090246,2641.06
2021-05-01,2802.554032649278,1706.0064846619873,3727.000994825075,2784.521064623557,2539.57
2021-06-01,3011.9317113948773,1967.4842692126547,4127.789009466194,3102.0188088746463,2807.51
2021-07-01,3412.62648620999,2388.795793103257,4449.2768100755175,3409.274690407957,3247.82
2021-08-01,3777.7250940547906,2798.176828493529,4726.610255729854,3726.7724346590444,3555.55
2021-09-01,3983.4740094962203,2939.904441311565,5016.32873030932,4044.270178910131,3654.3
2021-10-01,4516.324525331988,3500.2741907533614,5537.625098321245,4351.526060443444,4218.65
2021-11-01,4603.311750568778,3548.169078957064,5637.015788455068,4669.0238046945315,4186.48
2021-12-01,5134.433249448143,4012.046890129191,6224.912698124618,4976.27968622784,4566.3
2022-01-01,5406.319179434091,4338.191902352513,6432.511547383878,5293.777430478932,4617.15
2022-02-01,5327.911577934051,4264.703140880747,6366.015763699089,5611.275174730019,4527.49
2022-03-01,6206.697545214811,5140.342427822385,7219.540135305675,5898.047330827775,5405.65
2022-04-01,6333.324812450823,5299.725138016783,7371.891502593336,6215.545075078862,5583.05
2022-05-01,6491.397122231775,5423.355422225188,7536.050545292066,6522.800956612171,5955.2
2022-06-01,6567.5851915172625,5546.8766556776745,7677.101864827014,6840.298700863263,5862.75
2022-07-01,7148.137329190571,6112.452695251025,8285.659578193974,7147.554582396571,6288.4
2022-08-01,7606.533363378935,6630.511625171783,8613.327033617486,7465.052326647658,6579.63
2022-09-01,7712.041500871834,6695.972135442202,8782.296436623872,7782.55007089875,6780.8
2022-10-01,8368.355404907243,7372.647308892308,9441.590167072029,8089.805952432059,7305.42
2022-11-01,8357.619145647071,7329.295131669021,9376.262728946762,8407.303696683146,7309.45
2022-12-01,8961.160011057747,7853.818342505177,10069.34565382818,8714.559578216455,7829.49
2023-01-01,9107.748034374692,8049.051630584142,10146.737931095491,9032.057322467546,8036.89
2023-02-01,8832.336180232107,7811.424230165544,9856.198486991743,9349.555066718633,7534.76
2023-03-01,10263.201974133435,9282.987367491221,11331.023281456432,9636.32722281639,8685.3
2023-04-01,10274.224468155544,9271.434137349386,11387.167545535212,9953.824967067476,8863.26
2023-05-01,10091.756932277816,9013.787718171292,11072.387913774695,10261.08084860079,9415.19
2023-06-01,10043.371625892725,8949.288485677029,11070.21976657057,10578.578592851876,9335.06
2023-07-01,10880.153510821994,9788.89378373118,11910.44359537889,10885.834474385185,9964.61
