horizon,mse,rmse,mae,mape,mdape,smape,coverage
52 days,515.0712714345959,22.695181678818876,19.024261231377,0.03502188085420307,0.02915696429255704,0.035771328030392464,0.5
53 days,545.2108606631672,23.34975076233507,20.052631110934676,0.03582875552335508,0.030080232196080976,0.03655811754911549,0.45
54 days,552.9507662585398,23.51490519348398,20.340725283299,0.0358571356730168,0.030080232196080976,0.036577864962590426,0.425
55 days,528.8088785999134,22.995844811615715,19.8364240147373,0.034415840551799394,0.02915696429255704,0.03505085674070066,0.45
56 days,571.3729282985892,23.903408298788463,21.098078977707353,0.03595098111700803,0.03432389725961115,0.03643178076155294,0.375
57 days,691.7072151441769,26.300327282073447,22.247905997634412,0.03657605274588851,0.03432389725961115,0.03717042765015734,0.4
58 days,557.6843213906467,23.615340806150705,19.80115347973471,0.032600409777702774,0.027536869680389257,0.03321128059288507,0.5
59 days,607.2079079973948,24.641588990919292,20.843134454760236,0.03350532413982342,0.030817394053340184,0.034144731339876125,0.45
60 days,596.8748591901514,24.431022475331467,20.305174806422627,0.03278734717430467,0.030817394053340184,0.03342347086186691,0.45
61 days,565.1526486673665,23.77293942000792,19.40023665310068,0.031374844510931664,0.027536869680389257,0.03195432913116794,0.475
81 days,587.2433827465823,24.233105099152734,19.972251522220624,0.035046443097161775,0.0294570949989694,0.035835113472764316,0.45
82 days,571.4688305187934,23.905414251143892,19.314512165643535,0.034886372572206205,0.0294570949989694,0.03568657576511453,0.45
83 days,562.119274830865,23.709054701334363,19.579753623303503,0.034027884513663356,0.03242861910357217,0.034658935793443146,0.45
84 days,560.8849347634025,23.68300941103986,19.606395642875395,0.033812326630801096,0.029148094730621237,0.0344298634614985,0.475
85 days,562.849267219655,23.724444508136642,19.905524894687233,0.03345543523757526,0.03156275833133492,0.03399396416552734,0.45
86 days,569.6991984817042,23.868372346720758,20.110273670529757,0.03319391732338036,0.03156275833133492,0.0336278770003037,0.45
87 days,795.5479196698809,28.205459040226255,22.99104169513466,0.036291612638079285,0.03380263632841657,0.036792035544677686,0.4
88 days,726.8453215717785,26.960069020159768,20.972527790804747,0.03268358052384171,0.028591234226732154,0.033285861480187605,0.5
89 days,661.986781069107,25.729103775085267,20.376169304086332,0.03184985155219343,0.028591234226732154,0.03239714196886614,0.525
90 days,611.9429495717447,24.737480663393043,19.636280780242114,0.03052021156117573,0.0284449501050099,0.03101262309869483,0.5
91 days,630.7086986744229,25.113914443479793,20.137960116411847,0.030734064748430972,0.02701659072299823,0.031203557356724775,0.45
92 days,572.0261539933124,23.9170682566512,18.689654860164655,0.02922504417230387,0.02328641584164165,0.029661785563938163,0.5
112 days,627.5865324318561,25.051677237898783,20.206623356894276,0.0342208361569314,0.02701659072299823,0.03493665965436872,0.45
113 days,615.1604076272394,24.802427454328726,19.88105697676998,0.03452974317162376,0.02701659072299823,0.03526107164393137,0.475
114 days,618.4674519736924,24.869005850127834,20.05160399969908,0.034456600828683626,0.030859613705723585,0.03511520981711794,0.45
115 days,623.8181156762872,24.97635112814294,20.3646921452754,0.03505134976980337,0.030859613705723585,0.035721713675499665,0.45
116 days,624.741060604599,24.994820675583952,20.49774275449125,0.03435522790347399,0.03043167450133492,0.03491711184927148,0.4
117 days,657.7789953798135,25.64720248642751,21.360917151811698,0.03536093151412699,0.030859613705723585,0.03586289949626484,0.35
118 days,701.7755638728603,26.49104686253188,22.2013842294165,0.03587248546057498,0.03204654705176558,0.036387083059633896,0.35
119 days,576.619289599579,24.0128984006425,20.114072844132064,0.03233247404684604,0.03043167450133492,0.03285755469495666,0.4
120 days,447.15026819386264,21.14592793409319,18.252209072545057,0.029685581490726764,0.02778242427598043,0.030155044895846868,0.45
121 days,503.35606744218273,22.435598218950677,19.84729298189687,0.031104355611377983,0.03043167450133492,0.03160150231461817,0.4
122 days,505.56953133698454,22.48487338939191,19.90337719363476,0.030843708091641026,0.03043167450133492,0.031319114922857744,0.4
123 days,488.3102170328375,22.097742351490062,19.66414531372497,0.03055474010845393,0.03043167450133492,0.03101563839358199,0.425
142 days,474.0615034048034,21.772953483733055,19.547405662789618,0.03156809602855008,0.031400579109838796,0.032050338636740665,0.45
143 days,528.2970677011325,22.98471378331983,20.78118322789395,0.037789290099779375,0.03322712503854615,0.038669235050084426,0.4
144 days,476.02507716931876,21.81799892678792,19.541929966908278,0.03368610068615283,0.03286281217928578,0.0342977482108527,0.45
145 days,522.0444791161701,22.84829269587052,20.740142100599964,0.03522958312341164,0.03322712503854615,0.03590289647054994,0.4
146 days,573.6073373350564,23.950100987992858,21.593691860912564,0.03591980700346019,0.03322712503854615,0.036418681359401024,0.4
147 days,602.8542621621657,24.553090684518022,22.372247057661188,0.036571664032332404,0.034773720147689896,0.037033866581116216,0.35
148 days,622.2010233415759,24.94395765193599,22.773767071275845,0.036403998348447576,0.03428741749147965,0.036912817240217215,0.35
149 days,610.753355543304,24.713424601687723,22.599439640735095,0.03601135304624915,0.03413477801049598,0.03653316259162465,0.35
150 days,685.1308760475589,26.175004795559424,24.035005479234382,0.03691211666926723,0.03392310463221928,0.03748533090394677,0.325
151 days,682.4555226560444,26.123849690580528,24.204026678005945,0.036884060175048694,0.03392310463221928,0.03743470522067624,0.35
152 days,682.7595980468634,26.129668923407035,24.21689332254777,0.03674596649625232,0.03392310463221928,0.03729484943509497,0.35
153 days,665.1241696347545,25.79000135003398,23.89054180734894,0.036342408547270055,0.03392310463221928,0.03687018477419032,0.375
173 days,710.5499982734116,26.656143724729045,24.497390914708838,0.042343607671731794,0.03626860666870556,0.043310958446679565,0.35
174 days,742.8311985303818,27.25492980233818,25.275721092101687,0.044372674762238384,0.03709062691568047,0.04541982584273025,0.3
175 days,752.05340073556,27.423592046549263,25.511801372493295,0.04362838285980322,0.03709062691568047,0.04458050142552742,0.3
176 days,709.7523125909935,26.641177012117794,24.416164143754983,0.04034197782850962,0.03578230401249532,0.04110476432293318,0.35
177 days,780.1300277408842,27.93080786051281,25.92403069409759,0.042203714465707406,0.03709062691568047,0.04273689356052303,0.3
178 days,735.1940433469035,27.114461885623022,25.21600822078691,0.04017083200967636,0.03578230401249532,0.04076433770512854,0.3
179 days,767.316730144358,27.700482489378373,25.826554031016013,0.0401090389459105,0.03578230401249532,0.04079672398839605,0.3
180 days,827.8279510359929,28.77199942715127,26.663946538069332,0.04059535111442512,0.03578230401249532,0.04134339313645218,0.3
181 days,875.5424611631024,29.58956676200418,27.35308340919384,0.04075714853513872,0.03779542903283162,0.04155082141431714,0.3
182 days,805.0218763866965,28.37290743626209,25.921328823023998,0.0387786227814059,0.03454871252859097,0.03950407113774389,0.4
183 days,760.8731058343503,27.58392839742647,25.207411619382384,0.03785916488622683,0.03454871252859097,0.03853668399632261,0.4
203 days,749.301875349716,27.37337895382512,24.861983943052625,0.03866717976130449,0.03545792423101404,0.03938343363848569,0.4
204 days,931.3938738216259,30.518746268836566,27.90846573217339,0.048628975405675304,0.03993206194960266,0.05007601539518193,0.3
205 days,890.9901216228138,29.849457643696205,27.165433943730545,0.04611432249042975,0.03779542903283162,0.04736085583249683,0.325
206 days,908.8079006968944,30.146440929185893,27.219339582942137,0.04439250220725669,0.0368838157022845,0.04551082321597129,0.325
207 days,969.1406148320054,31.131023350221003,28.26632767749844,0.04550731134245476,0.03993206194960266,0.046465775796557564,0.3
208 days,1065.0819018371249,32.63559256145236,30.15478132231105,0.04745293364233018,0.04266611091078136,0.0483352336053578,0.25
209 days,992.293516146492,31.50069072491097,28.832059726390572,0.0445702245331788,0.0368838157022845,0.04560364445336286,0.35
210 days,1009.4191470298331,31.771357336913276,29.150540721801473,0.04475331391489202,0.0368838157022845,0.04581686509109015,0.35
211 days,1089.5554731096495,33.00841518627711,30.350405457311656,0.045120669338719416,0.040126935273714644,0.04622124966883766,0.35
212 days,1067.213089088778,32.668227516790346,29.911350194087497,0.04426477609717739,0.040126935273714644,0.045323324834312846,0.4
213 days,967.5763971457848,31.10589007158909,27.68394900432898,0.04191241617121492,0.03707868902639649,0.04291408606620091,0.45
214 days,888.018747914819,29.799643419256192,26.203635838926242,0.04040499764726822,0.032354525507112174,0.04136177605079658,0.5
234 days,1034.3512773211232,32.161332020317865,28.260080226857088,0.049043075888065904,0.04053886498418342,0.05074569642016409,0.4
235 days,1090.9919747556287,33.03016764649596,29.331201195056554,0.05232934738850177,0.04182920029059145,0.05421155287589691,0.35
236 days,1084.6586918733783,32.93415691760423,29.273057642818877,0.05064286337691291,0.04182920029059145,0.052322836811946695,0.35
237 days,991.0860508488774,31.48151919537679,27.667226060317113,0.04612012111319443,0.04149109166095022,0.047423653262138626,0.4
238 days,1077.7963850457422,32.82980939703644,29.518173714721446,0.04841456184724201,0.04257520796564747,0.04944146358872285,0.325
239 days,1124.039364204521,33.52669629123217,29.686125259621917,0.0473616186223243,0.04182920029059145,0.04855434094732068,0.35
240 days,1028.9648007727237,32.07748120991927,28.192350184297304,0.0445926207159182,0.04053886498418342,0.04580254021846808,0.4
241 days,1128.7525310111046,33.59691252200274,29.644838085053514,0.04581705453582076,0.04149109166095022,0.04708973380063129,0.35
242 days,1168.8961912669845,34.18912387393079,30.38694675053664,0.04621453281975472,0.04149109166095022,0.04751421759831938,0.3
243 days,1068.147055949015,32.682519118773804,28.16441954359492,0.04343886438098752,0.037695962703268956,0.044637919397713055,0.35
244 days,1000.1421935074648,31.62502479852727,26.96861598885304,0.042121927464151755,0.033736023819101124,0.04327394958214011,0.4
264 days,995.6082517977072,31.553260557313365,26.854094209190226,0.043507675020481716,0.03800964248800076,0.04472401931444183,0.35
265 days,1203.968767181139,34.69825308543845,30.779077496524405,0.05416437168122754,0.04478961307579592,0.05614879495603973,0.25
266 days,1129.2541002861176,33.60437620736498,29.730848425720183,0.05084345101101927,0.04257520796564747,0.05248812061167975,0.3
267 days,1075.488813552564,32.79464611110423,29.110743557988865,0.047448563938887425,0.040598619694131526,0.048706583888860185,0.35
268 days,1111.9875787551482,33.34647775635604,29.706383266799833,0.047639918836237624,0.040598619694131526,0.04869930727949516,0.35
269 days,1322.5447667055373,36.366808585653175,32.312506756206005,0.05013019639079356,0.04835322187625807,0.051123841513655156,0.3
270 days,1210.4221949503333,34.791122358301884,30.125947386648583,0.045939279904915246,0.03425097699666059,0.047122726111175586,0.4
