date,yhat_lakh,yhat_lower_lakh,yhat_upper_lakh,trend_lakh,actual_lakh
2013-01-01,166.22902350827067,143.63932622261325,188.58581118777522,135.1576738708506,189.17854799999998
2013-02-01,168.43680772621693,146.09208580707468,191.2284921476237,137.58349196460304,191.14683799999997
2013-03-01,171.93517963247015,149.08764308367057,192.7969458723944,139.7745534686375,194.33832799999996
2013-04-01,173.92754209477224,151.44421684640977,195.26970581556967,142.2003715623899,194.33212799999995
2013-05-01,176.34690135413172,155.01101469314955,198.95362925498574,144.54793745956968,194.69453799999997
2013-06-01,178.15866222391782,155.5904813982887,197.84007017418477,146.9737555533221,190.12002799999996
2013-07-01,180.65426204542868,159.62112082875947,202.62810355494,149.32132145050187,186.61833799999997
2013-08-01,182.37576539553046,161.53206808437955,203.73673388483277,151.7471395442543,183.23373799999996
2013-09-01,184.69749268437533,162.74488114909443,206.037420973747,154.1729576380067,184.54471799999996
2013-10-01,182.8781534297635,161.31987846432412,204.0670472968705,156.5205235351865,184.57844799999995
2013-11-01,184.97879677046092,163.43503404457832,208.63666643575408,158.9463416289389,186.26611799999998
2013-12-01,183.2401466532166,161.37478438926743,205.81553357458753,161.2939075261187,185.65671799999996
2014-01-01,186.0838312796686,163.91625880643122,207.2429709469521,163.7197256198711,188.53695799999997
2014-02-01,184.03031953341775,162.27691593217176,206.10549612830118,166.14554371362354,189.31745799999996
2014-03-01,186.44413062259252,165.0965502700991,206.73956049037997,168.33660521765796,190.61102799999998
2014-04-01,188.92674326286877,166.37624099840528,210.29740192910657,170.7624233114104,191.06010799999996
2014-05-01,191.5982114694516,170.70195068751622,213.65164186051874,173.10998920859015,192.70772799999997
2014-06-01,197.7320672968005,177.48426773171337,218.6638894039659,175.5358073023426,193.56085799999997
2014-07-01,204.8135345198088,184.44055736098005,227.31986581847568,177.88337319952237,194.93767799999998
2014-08-01,206.33822359521196,185.15270073105762,228.19848739854805,180.30919129327478,196.59535799999998
2014-09-01,208.42160428575482,186.53274361493618,230.46071238970774,182.73500938702722,197.63998799999996
2014-10-01,216.17474260807828,193.8327141866561,237.6648259060357,185.082575284207,198.34133799999995
2014-11-01,217.203869370026,195.68816244445964,238.39905330356277,187.5083933779594,200.19535799999997
2014-12-01,220.48411031243774,200.7811156735772,243.28955721933744,189.85595927513918,202.39535799999996
2015-01-01,224.04610343839147,203.3329919723598,245.15829762764528,192.28177736889162,204.91700799999995
2015-02-01,226.77759919124176,204.44900230717138,247.99753875941707,194.707595462644,207.37231799999998
2015-03-01,227.64725617363487,206.8523456505668,249.69540175206356,196.8986569666785,209.90188799999996
2015-04-01,230.83890769646254,208.47803401563652,252.47759460361343,199.32447506043087,211.67437799999996
2015-05-01,233.83794585253264,212.9444981054616,255.13542269629454,201.67204095761068,213.59924799999996
2015-06-01,235.2923597501347,213.05360633958787,256.9281055727302,204.09785905136312,215.20989799999995
2015-07-01,237.9950840800286,216.64571518310638,259.633034202719,206.44542494854286,218.80284799999995
2015-08-01,239.298163627911,217.4882753390326,259.8098478716643,208.87124304229528,222.12302799999998
2015-09-01,241.07853304487503,218.74187608220353,262.5392492849701,211.29706113604772,223.26495799999998
2015-10-01,240.59584527020138,219.70473750304723,262.971537306499,213.64462703322747,227.60142799999997
2015-11-01,240.24720928094385,217.9966133163786,261.32424268674276,216.0704451269799,223.54541799999996
2015-12-01,239.72897305366226,218.513649028106,260.8441842622595,218.41801102415968,226.26258799999997
2016-01-01,244.19555163287495,222.62839055082688,263.88705611480975,220.8438291179121,236.61737799999997
2016-02-01,247.27419551920337,226.13259514149755,270.128537089577,223.26964721166453,240.06058799999997
2016-03-01,245.52716251721486,225.39937800975136,267.5831836241479,225.53896091227165,243.84754799999996
2016-04-01,246.50013297185382,225.25541870653706,268.84201519487357,227.96477900602406,247.39454799999996
2016-05-01,248.63882613785006,227.83413574279825,268.28883742862195,230.31234490320384,250.27437799999996
2016-06-01,241.16893308756806,219.44890057309632,263.3388677100584,232.73816299695625,254.21804799999995
2016-07-01,243.66179536352865,222.51199670017846,265.865288900373,235.08572889413605,258.233298
2016-08-01,245.06909447429993,222.4960441228415,267.25609006779564,237.51154698788844,262.58475799999997
2016-09-01,247.6381419230886,224.7598897573029,270.4048688599518,239.93736508164088,267.362938
2016-10-01,249.7916616502115,227.62606918043767,272.01268777992146,242.28493097882065,272.24377799999996
2016-11-01,253.05289890689332,232.33130612281312,274.7940051649339,244.7107490725731,276.625618
2016-12-01,261.2002920739274,239.77896988669383,281.4127682323285,252.81090665011467,282.005748
2017-01-01,264.85442312843713,243.46448341670373,286.84731069026196,261.1810694802409,287.25393799999995
2017-02-01,272.7843867794977,251.49162956690915,294.37026640673486,269.55123231036714,289.58190799999994
2017-03-01,282.9198766133652,262.5876988199563,304.2747136382582,277.1113793827393,297.21770799999996
2017-04-01,290.4349188192671,269.4939187630672,310.3917786509985,285.4815422128655,302.53637799999996
2017-05-01,298.6848504114518,276.8320301076309,319.8366816876732,293.581699790407,307.357718
2017-06-01,305.79909690671207,283.2802682259107,329.19026726193823,301.95186262053335,313.57235799999995
2017-07-01,309.7077669799146,288.9853978439854,329.8543484057367,310.05202019807496,319.364648
2017-08-01,316.59506631872404,296.0707850685593,338.9825270661795,318.4221830282012,325.252148
2017-09-01,324.72481730349926,302.1399864692911,346.35363171183275,326.7923458583275,332.221798
2017-10-01,333.49707996619554,309.72628671373786,355.0901914445448,334.89250343586895,337.49978799999997
2017-11-01,341.15078873269346,320.8799136719166,363.01141630022556,343.26266626599534,346.551408
2017-12-01,350.11257024195726,328.9045168535743,371.2959088625173,351.3628238435368,353.75737799999996
2018-01-01,359.3890040123317,337.4683442703851,381.2296118733703,359.7329866736631,361.177758
2018-02-01,367.7804063120956,345.4549500628781,390.572554211421,368.1031495037894,368.14908799999995
2018-03-01,375.8344083851986,354.9539645555068,397.9537938615008,375.6632965761615,373.644908
2018-04-01,384.3326678710679,363.9780691919998,406.65320254945834,384.0334594062877,376.62411799999995
2018-05-01,388.6771376817911,367.5460845201439,410.0269681516242,392.13361698382926,384.84165799999994
2018-06-01,395.26821809286196,373.4644313839232,418.17982828067596,400.5037798139555,392.602828
2018-07-01,403.9212070730984,380.6390472918268,425.3741618688,408.6039373914972,400.45548799999995
2018-08-01,410.2053318826034,387.5831782937265,430.65649969767867,416.9741002216234,409.20627799999994
2018-09-01,417.76273091808065,395.79215978507784,439.10678748839604,425.34426305174964,416.55335799999995
2018-10-01,427.98582158170075,404.70813746097275,449.38440792155524,433.44442062929124,425.547358
2018-11-01,433.0583621637152,412.97251834570136,456.6300797142302,441.81458345941746,431.14935799999995
2018-12-01,443.34354145668374,420.8764837986908,465.4217172267891,449.914741036959,440.93335799999994
2019-01-01,454.4089866812498,432.8141484960889,474.2562912460213,458.28490386708523,450.50535799999994
2019-02-01,463.51450632770525,441.6602763141435,484.1900883411395,466.6550666972115,459.41135799999995
2019-03-01,472.38882742877473,452.31194898107935,494.55544522732686,474.2152137695837,469.681358
2019-04-01,482.6028858041715,460.7856822365784,503.16980299795233,482.58537659970995,478.763358
2019-05-01,496.7782807386271,473.9382439058665,517.4491287477126,490.68553417725155,488.00337799999994
2019-06-01,502.7805351442811,481.4275756673139,523.1013869456647,499.0556970073778,495.27638799999994
2019-07-01,511.74902076312367,491.27052882543325,532.3147660506987,507.1558545849193,501.434468
2019-08-01,517.3479953121056,495.43893483559594,539.5618586287576,515.5260174150455,516.450248
2019-09-01,524.1050556689147,502.6857552937245,547.5832831613957,523.8961802451718,524.692548
2019-10-01,536.3208661268252,515.1865430079467,558.7813503794487,531.9963378227134,532.381768
2019-11-01,533.2605214996954,512.7198010768327,555.160958866104,540.3665006528397,544.10765
2019-12-01,545.4113694191866,524.0312493602428,567.0487770830201,548.4666582303813,553.32847
2020-01-01,554.4233814011102,533.2592103009099,575.7965646532081,556.8368210605074,561.20245
2020-02-01,564.4539938325509,544.6685044376479,586.0087486635874,565.2069838906338,571.5809
2020-03-01,569.0118170994897,546.9447453439145,591.2587357866289,573.0371362155906,577.45105
2020-04-01,572.0538696895181,551.3540362662073,593.8753315530641,581.4072990457169,573.60145
2020-05-01,573.3365743950159,550.5267514789215,593.5687864436653,589.5074566232583,571.79899
