date,yhat,yhat_lower,yhat_upper,trend,actual
2013-01-01,385.58953165717935,-15.239464452355985,814.1017125690679,518.0347315804432,372.16857
2013-02-01,334.11514327916314,-80.12653191340341,709.8070680159569,531.3545933928864,331.2148123
2013-03-01,395.88678743666605,-28.989287501195697,798.0933570688878,543.3854363202544,358.42252
2013-04-01,385.9378691213887,-4.667396553577145,800.537369138989,556.7052981326975,379.68114
2013-05-01,396.92418582114976,-14.84818280056742,803.810779191295,569.595486983449,405.1003
2013-06-01,366.7234424875701,-37.35718950021405,749.7086810199041,582.9153487958922,370.18287
2013-07-01,412.2395564588766,4.13522788067354,838.9758615492302,595.8055376466435,444.27342
2013-08-01,428.85676325021876,-9.706178248661232,845.9761620198228,609.1253994590868,433.91518
2013-09-01,419.7302580646682,-13.435183465714555,824.2114818463971,622.4452612715298,420.41541
2013-10-01,495.4298023815623,120.93051919681291,906.9637453618137,635.3354501222813,453.75181
2013-11-01,421.11008406772214,20.251945961189904,838.5732712107977,648.6553119347245,420.7424
2013-12-01,492.47460508295035,86.19840439685947,887.738159140559,661.5455007854758,459.10624
2014-01-01,490.9495713171563,48.34664145355228,909.0841838836357,674.865362597919,458.52754
2014-02-01,415.121101288005,14.640698196462491,828.4445244575868,688.1852244103621,410.63222
2014-03-01,541.1605303606399,156.74464723842968,953.7397365404049,700.2160673377302,464.01963
2014-04-01,510.0523587003364,132.09691660316525,911.8045353288874,713.5359291501733,467.41745
2014-05-01,483.73016077844807,99.53869565974003,944.4307894714775,726.4261180009247,475.49989
2014-06-01,455.0451364514502,72.420411598202,868.0127837791741,739.7459798133679,485.689
2014-07-01,514.9104791485104,111.32861447248096,924.3858700653686,752.6361686641193,512.40307
2014-08-01,552.9798996019548,125.61024881969607,986.1492414745779,765.9560304765625,508.5
2014-09-01,543.5374457823269,145.07214343819416,948.8840050598798,779.2758922890057,505.02809
2014-10-01,657.6216585559987,261.0551236863358,1079.706787169457,792.166081139757,549.25273
2014-11-01,518.7783847361582,109.75329296056654,945.8118949441069,805.4859429522003,486.6
2014-12-01,607.5072333415251,184.02352924987628,989.0896874170605,818.3761318029516,565.3
2015-01-01,603.4874643428783,206.3351585152441,1001.5505882721268,831.6959936153947,565.82337
2015-02-01,503.6285824275105,104.17154867538501,915.7610631436215,845.015855427838,499.15966
2015-03-01,717.7876630324496,298.0819550919409,1097.560021172734,857.0466983552059,573.4422
2015-04-01,658.0304786278201,239.02268447968282,1054.6703213656133,870.366560167649,577.39749
2015-05-01,577.6594100584051,180.20915072479244,973.527704153779,883.2567490184005,605.98617
2015-06-01,553.26198777408,147.6348660430642,941.4457098019525,896.5766108308436,626.37274
2015-07-01,627.9975387937463,205.9277942836837,1048.1879405916243,909.4667996815951,652.43833
