date,forecast,forecast_lower,forecast_upper,trend_component,seasonality_component
2026-05-01,5257.721562300681,4858.238102574151,5691.030248490983,2609.6827116358336,-0.011202707470447604
2026-06-01,5217.915530822549,4825.619868925873,5603.492517344829,2623.002573470983,-0.06271217052899078
2026-07-01,5436.310362093851,5025.033758092968,5865.686252101451,2635.8927623437075,0.005095407987514344
2026-08-01,5533.321041250779,5149.7203060691245,5931.209962161838,2649.212624178856,0.0414576965686283
2026-09-01,5510.560870249614,5112.24885645873,5917.3489815327375,2662.532486014006,0.016091800498885866
2026-10-01,5837.231074972205,5428.87136715235,6245.7154097453185,2675.42267488673,0.14814743504569292
2026-11-01,5503.088723025381,5116.773725059481,5903.105353895161,2688.742536721879,-0.03956570004883064
2026-12-01,5786.5086846865925,5392.736183166771,6178.247974879787,2701.6327255946044,0.05679613039567716
2027-01-01,5765.028353293785,5363.271611331445,6180.89079168901,2714.952587429753,0.03788005217004309
2027-02-01,5503.124417761683,5077.309814251469,5915.856384839195,2728.2724492649018,-0.09386807190611979
2027-03-01,6075.136442040341,5655.911236636033,6506.8263740911225,2740.3032922127786,0.14544478003430972
2027-04-01,5862.348790698836,5469.712496234156,6303.743004510645,2753.6231540479275,0.06242790255991382
