date,forecast_lakh,forecast_lower_lakh,forecast_upper_lakh,trend_component,seasonality_component,forecast_prophet_lakh,forecast_arima_lakh,forecast_arimax_lakh,forecast_ets_lakh,forecast_direct_lakh
2026-05-01,1205.090924227594,1200.4611505990479,1211.0933769346304,1181.0889650363763,0.0023224243235374087,1214.9571510752676,1202.4583042170927,1202.4756584011343,1201.8021819450362,1202.4583042170927
2026-06-01,1210.6438192607056,1193.0727527476647,1221.5517558779154,1189.4591278665027,-0.0021682236539745207,1218.0053107482559,1210.3438233448048,1210.3868788085204,1208.1899887648556,1210.3438233448048
2026-07-01,1218.73882007579,1195.8725027486478,1242.381957750767,1197.5592854440442,-0.0007722646243493343,1227.759649070564,1218.0233716630294,1218.1000371518726,1215.731877077532,1218.0233716630294
2026-08-01,1223.216648513661,1176.786893095533,1260.5124378812,1205.9294482741705,-0.005759562489728422,1230.1090185568607,1225.5023291567327,1225.6200920316583,1220.9191918325946,1225.5023291567327
2026-09-01,1230.3641804860436,1160.295996902952,1279.7364882581212,1214.299611104297,-0.007557060152662838,1236.2482721980557,1232.785935284958,1232.9518779068605,1228.4028165820393,1232.785935284958
2026-10-01,1240.4630261819477,1153.0421889552672,1298.57947765862,1222.3997686818384,-0.0025180139446860927,1250.4469453165457,1239.8792926513804,1240.1001082029334,1237.1350531370817,1239.8107964543785
2026-11-01,1245.91659577229,1147.8079035656976,1318.425439753398,1230.7699315119644,-0.009934125100931175,1249.6685053400893,1246.787370578988,1247.0693783419479,1244.6659592496903,1247.1336192376311
2026-12-01,1255.3740551255567,1142.0349374823427,1342.7498588464837,1238.8700890895063,-0.004898749534180118,1263.9263711158985,1253.5150085913904,1253.8641686968756,1252.523283128776,1254.4864492932695
2027-01-01,1266.1245122502885,1153.7474671429904,1372.2928627633194,1247.2402519196323,0.0010719593035147246,1279.7024390096246,1260.0669198031962,1260.4888474719114,1261.598536663843,1261.8011504545161
2027-02-01,1274.2244940674366,1158.4313939371877,1396.794550078104,1255.6104147497585,0.0026285358720325724,1290.0360280644552,1266.4476942218334,1266.9476735106841,1268.953982735097,1269.0779813451036
2027-03-01,1280.3195434163317,1159.8672171968153,1417.8810919935459,1263.1705618221308,-0.004111803680534647,1289.1018487551166,1272.6618019631246,1273.2447990341632,1277.3921083034036,1276.3171612685426
2027-04-01,1287.7201485081182,1169.3001948673352,1445.3928378286373,1271.5407246522568,-0.00021961775298135616,1302.3866680337135,1278.7135963828719,1279.38427231002,1282.831308666253,1255.9190694798347
2027-05-01,1295.2521314262437,1190.3615252095728,1468.7537585982147,1279.6408822297985,0.0030132935764386262,1314.622012178599,1284.6073171266441,1285.370040255159,1288.795504508792,1228.9710471241085
2027-06-01,1299.5086915228242,1193.1654004054667,1470.7025897540998,1288.0110450599248,-0.00178202325237243,1316.8409757265447,1290.3470930999035,1291.205950973095,1293.7312634549173,1229.5083835044934
2027-07-01,1306.6796876164647,1197.1793014906896,1483.269581829242,1296.1112026374665,-4.140899646445581e-05,1327.182728271488,1295.9369453605523,1296.895756227804,1299.8453407314569,1229.9513559970203
2027-08-01,1309.8568168496595,1198.6744553507629,1494.9591614893263,1304.4813654675927,-0.005416194337068862,1328.5412371813645,1301.3807899359242,1302.4431138556404,1303.6286767390911,1230.316536238483
2027-09-01,1315.5331518049188,1201.4572063860587,1512.9036229258647,1312.851528297719,-0.008408710991908017,1332.9373355192079,1306.6824405661982,1307.8515901168703,1309.7317572334891,1230.6175856512668
2027-10-01,1325.6692963286616,1217.3328738637601,1542.1009987536104,1320.9516858752606,-0.0005444373738971511,1351.357706706587,1311.845611376152,1313.1246619883327,1317.1064928693531,1230.865766518267
2027-11-01,1328.1424853808787,1223.9163221973592,1561.1653901581335,1329.3218487053869,-0.013378832079515561,1342.6622712101555,1316.8739194771292,1318.2657193987031,1323.3025567711197,1231.0703633058024
2027-12-01,1337.5844448694174,1231.656192125403,1579.0569023033395,1337.4220062829284,-0.005795762210879664,1360.795822657144,1321.770887501044,1323.2780674077953,1329.8473189401752,1231.2390299962517
2028-01-01,1348.6337561512275,1245.9636679517891,1617.8493100819492,1345.7921691130548,0.0035086406266630066,1381.6392664908788,1326.5399460681954,1328.1649283313034,1337.6319193713437,1231.3780764241542
2028-02-01,1356.2753555898669,1254.886892967043,1644.2762140118282,1354.162331943181,0.006394453708333241,1393.9466565865894,1331.1844361906242,1332.9294438123493,1343.718255257626,1231.4927043276302
2028-03-01,1364.3322479118974,1265.2163931994771,1670.6753842432342,1361.9924842681378,0.008433195692525854,1404.6036297179496,1335.7076116126914,1337.5746768411686,1350.9084539765468,1231.5872019458254
2028-04-01,1367.3873965102289,1268.9490126179323,1688.6241610258844,1370.3626470982642,0.001970333121262151,1404.1879143082117,1340.1126410905222,1342.103613724232,1355.1205572442348,1231.6651044422836
