date,yhat,yhat_lower,yhat_upper,trend,actual
2022-01-01,3181.860831125904,3131.621860392126,3228.5710344721338,3196.4279653910976,3192.99517
2022-02-01,3055.410598542412,3011.179424391675,3101.904900473048,3208.3173647995673,2956.22576
2022-03-01,3243.3759398929756,3196.9821521341887,3289.855480071764,3219.0561771685075,3275.18914
2022-04-01,3254.1645339688703,3205.522700007708,3305.649594005558,3230.945576576977,3311.86797
2022-05-01,3289.1151444582706,3243.0144202294173,3338.679306755054,3242.4514469722703,3315.64775
2022-06-01,3117.9756909063526,3070.183079167435,3164.25767850838,3152.7470259924794,3089.98653
2022-07-01,3120.6438200093135,3074.1281674191678,3168.0415814757985,3065.9362960120366,3133.46528
2022-08-01,3050.722591174195,2999.70213287712,3092.842136525855,2976.2318750322456,3033.46938
2022-09-01,2867.4057391359374,2817.700888581488,2915.0764710079948,2886.5274540524547,2899.37815
2022-10-01,2895.700790537807,2846.2664770901256,2939.960681398034,2799.7166845071692,2962.37803
2022-11-01,2665.160540200525,2616.1949966150346,2708.458715376762,2710.0122226437074,2608.28281
2022-12-01,2659.605843168657,2612.0487126260973,2706.198106497544,2623.2014530984216,2667.10247
2023-01-01,2516.6966448784874,2467.5798829186615,2562.659272680657,2533.49699123496,2510.09094
2023-02-01,2302.2672743169173,2253.1800304240305,2350.53400146258,2443.8152676221425,2265.3106
2023-03-01,2393.154795114631,2343.8633654523665,2437.9805945931544,2362.8124204879846,2382.49573
2023-04-01,2308.574603932384,2260.936537166133,2354.4243759842557,2273.130696875167,2295.38468
2023-05-01,2243.2971071419975,2194.969171877795,2291.5248225808136,2186.341932088569,2239.76702
2023-06-01,2076.1141659499954,2028.2368373361896,2123.823845021593,2112.254005371001,2102.23617
2023-07-01,2097.2557808664365,2053.0389010816407,2141.409590818342,2040.5560117733546,2101.31454
2023-08-01,2057.968167803171,2011.1139424748471,2104.246260859331,1966.468085055786,2075.941
2023-09-01,1856.5255396698046,1809.0691138817806,1903.2018303606303,1892.380158338218,1839.04344
2023-10-01,1933.8288000221053,1884.3927749470067,1983.4559983965744,1839.3224131635154,1904.23479
2023-11-01,1745.904718779145,1697.4583651295177,1792.6780161074032,1784.4960764829889,1771.65904
2023-12-01,1774.896592854808,1729.993032559333,1823.74221923376,1731.4383313082863,1768.1564
2024-01-01,1649.012963011247,1605.3790368230368,1697.369556817689,1676.61199462776,1644.6753
2024-02-01,1483.3281356306572,1439.1627086634278,1528.8492246291255,1621.8280230619678,1522.47458
2024-03-01,1608.2694260931848,1562.6016258904865,1654.4589658463747,1570.5785012746137,1594.7514
2024-04-01,1540.0267292516396,1491.2973442936736,1584.4058210330397,1515.7945297088213,1518.61472
2024-05-01,1513.7283165499605,1469.1015148880044,1559.754312509989,1462.7777830322484,1503.81627
2024-06-01,1426.380555808273,1381.1727366417754,1473.5114968970151,1432.85105507011,1423.93548
2024-07-01,1455.422644867898,1409.7906324477815,1501.671045844162,1403.8897054293311,1456.55829
2024-08-01,1413.7136939223915,1368.9662344931746,1463.6892471578087,1373.9629774671928,1422.44889
2024-09-01,1357.751338570377,1311.3851995181758,1401.305799686955,1344.0362495050542,1353.64044
2024-10-01,1414.6937560624565,1365.6790396361998,1461.3197781908339,1315.0749010517948,1427.17406
2024-11-01,1228.3235600170865,1180.5545546441779,1275.4122317716583,1285.14817431676,1231.88968
2024-12-01,1277.785410626396,1232.3167828412284,1323.4031930337048,1256.1868258635006,1280.09805
2025-01-01,1230.7537079322717,1180.753411412959,1278.7361163858163,1226.2600991284662,1216.69427
2025-02-01,1049.1608689425693,1003.2269069687378,1093.6378588532023,1196.3333728986565,1082.49702
2025-03-01,1204.5398254286677,1159.3966510779298,1252.9661495441944,1169.30278146528,1203.01951
2025-04-01,1167.3241264098342,1121.2041650316346,1210.3483990510124,1139.3760552354704,1170.93484
2025-05-01,1163.544653131374,1116.8462539590294,1211.1558535073075,1110.4147072711385,1150.46827
2025-06-01,1081.375445270721,1034.2481724584675,1129.3911956757656,1097.7857206333172,1085.72071
2025-07-01,1138.547820394459,1092.6473007331645,1184.2186927241953,1085.5641206612322,1120.6097
2025-08-01,1130.1709593908358,1082.3292908308983,1178.096356813784,1072.9351340234111,1120.80272
2025-09-01,1057.712608839474,1011.6732744481595,1104.8415449140557,1060.3061473855898,1047.39031
2025-10-01,1145.7743289583439,1097.1660025245867,1191.9526097282148,1048.0845474135049,1096.24575
2025-11-01,984.5235245281119,939.3004623704078,1031.1746381332798,1035.4555607756836,1012.11314
2025-12-01,1052.3492988271228,1006.449083167166,1098.88760331403,1023.2339608035987,1049.2403
2026-01-01,1004.5056779944687,955.5966364590938,1053.691060182551,1010.6049741657775,1018.29499
2026-02-01,853.53705936452,806.5791826537212,902.5635522817347,997.9759875279564,917.122
2026-03-01,1019.3567617055662,971.3313809416936,1065.6347878239114,986.5691608873437,1013.1741299999999
2026-04-01,1005.626969735122,961.1027453107333,1053.312596861577,973.9401742495226,978.84601
2026-05-01,1006.165060226609,957.5559718571867,1056.308532200393,961.7185742774375,
2026-06-01,928.4198473780976,878.0059769920482,981.6549801403237,949.0895876396164,
2026-07-01,974.5636144507548,922.0351877594011,1037.9747635497056,936.8679876675312,
2026-08-01,972.1632036103848,898.8583677807621,1063.175790469112,924.2390010297102,
2026-09-01,892.3791080609835,791.5496523839398,1013.414993303333,911.6100143918887,
2026-10-01,965.1123884062894,833.7931894565545,1122.1996128784315,899.3884144198039,
2026-11-01,846.8659226014,671.3517909914907,1038.9262100947697,886.7594277819829,
2026-12-01,897.0126669824219,689.3046180385703,1144.3615887930093,874.5378278098976,
2027-01-01,849.5878705613405,588.5780550376874,1147.5577717983247,861.9088411720766,
2027-02-01,743.0525144696207,438.68370076995205,1087.6971519979124,849.2798545342554,
2027-03-01,864.1289632750545,515.4792580366786,1244.8394119840543,837.8730278936426,
2027-04-01,855.8068632149835,469.4367687228406,1288.4916216737959,825.2440412558215,
2027-05-01,,430.32477043059896,1374.4976825019062,813.0224412837365,
2027-06-01,,271.2550600682092,1337.5907085485258,800.3934546459154,
2027-07-01,,295.17337483333574,1466.0597235302441,788.1718546738305,
2027-08-01,,266.23468546465824,1545.213238785218,775.5428680360093,
2027-09-01,,57.4607509107615,1482.4116311115113,762.9138813981881,
2027-10-01,,132.0679818868613,1669.3449726237843,750.692281426103,
2027-11-01,,-62.859256566295485,1588.8828706366924,738.0632947882818,
2027-12-01,,-90.19536702753628,1744.801244128225,725.8416948161969,
2028-01-01,,-236.3708948308562,1747.8108637249713,713.2127081783757,
2028-02-01,,-433.30466576331685,1709.3336265964538,700.5837215405545,
2028-03-01,,-347.0204886492915,1973.8343425925264,688.7695082342055,
2028-04-01,,-435.2577084571469,2012.9916983834153,676.1405215963844,
